id,content
AkDAFULrD7GTJdWvSE8TN,报纸 科技媒体 互联网
sViYNRTOSjTcxXPEL2ykH,知乎的神奇之处在于，会帮你记录来时的路时间来到了2024，距离第二次回答也已经3年，真弹指一挥间过去几年的记忆不知为何总是很模糊，时间线也有些混乱，且不止我一人有同感老规矩先汇报工作，期间种种不再赘述，都是丰富人生，直接跳集到此刻吧，来到了一个新的城市，做着一份降薪但能准时下班的工作。而且还是沿海城市哦，曾经某一刻的梦想就这么不约而至，工作之余有更多时间享受生活。新的回答似乎不再符合原帖了，因为更在乎生活（上班时间还是很认真的哈，只是不再像以前需要随时回应），每年都在说大环境不好，每年都是最难的一年，一年比一年难，越是如此越觉得挣扎不如享受当下以前是指望找一份好工作一直干下去，现在想去流浪过旅居生活，在这之前，需要搞定不限地点的工作状态，算是接下来的目标吧，立帖为证，看看下一次更新又当如何！——————我是来自2024年的分割线————————没想到2021年已经要过去四分之一了，匪夷所思。距回答之初，中间又发生了很多（离谱的）事，遇见了很多（奇葩的）人，心态又发生了很多变化，特此来更新一波。先汇报一下工作，目前回到了mcn机构做签约岗，每天在某音上找有趣的灵魂谈合作，虽然被拒绝是常态，但工作还得继续做（有想签机构的小伙伴可以私聊哈哈哈哈哈，不坑你是合作基础保障，最好是能一起搞到钱）工作不辛苦，压力还是在，因为要完成任务嘛，还有绩效考核等等，但是整体而言比之前的工作轻松许多，不过天花板也变的很低，这都是后话啦。大学室友，有去媒体工作的，也有考了家乡公务员的。个人目前想法也相对纯粹些，只要公司不抛弃，我就要一直赖在这家公司，之前的跳跃让简历有些花了，需要好好养养。同时呢，备考事业编，找个铁饭碗。如果能确定账号定位，还想做自己的自媒体。想做的事挺多的，架不住自己太懒，玩心重，希望下次来更新回答的时候，一切都可以有新气象————————我是2021年的分割线——————离职两个月，间断找工作中ing高中文理分科时选读了理科，虽然物理化学一团糟，只怪当时年少无知，听大家说理科好就业，就这么稀里糊涂高中选择读理，搞笑的是大学学了新闻学……不知名211本科新闻学，答主的职业路线是这样的：实习记者-运营（新媒体运营、内容运营）-文案策划-媒介公关-失业……新闻理想什么的，早已经没有了。我实习经历比较多，大学每个暑假都去实习了：做过实习记者，后来又投身到新媒体领域，运营工作是短暂地做过几个月公众号，后来又稀里糊涂走进了广告圈，过上了更加痛苦的日子，现在只有一个词：悔不当初！最后一份工作是MCN公司的媒介执行，可以说是这份工作改变了我的人生轨迹，让我至今想到那种工作状态都痛苦万分，无休止的加班，随时被@，既要哄着客户，又要哄着博主，每天催或被催稿子、合同、发票、款项，恨不能一个人掰成三个用，更让人痛苦的是，即便如此，领导们还觉得工作不饱和，后续还要再增加任务量，甚至让我开始怀疑，难道是我能力不行？效率太低？坚持几个月后还是决定裸辞了，那种状态太痛苦，身心俱疲，也没有得到尊重的感觉，当时就只想对自己说：下份工作坚决不进广告圈！一开始还是打算先歇一歇，缓一缓，没有急着找工作，大概休息了半个月吧，开始投简历，前期也有很多回应，但大部分都是广告公司，所以一概放弃了，也尝试着再回到文案策划岗，不想再跟人打交道了，但投出去的简历石沉大海，为数不多的面试也以“有更合适的人选”为由告终。虽然面试失败了，也未必是件坏事吧，因为一想到天天要写文案，内心也是极度痛苦，陷入迷茫，不知道要做什么，能做什么。来找我的岗位，大多还是媒介岗，也去面试了几次，每当面试官介绍完工作内容时，我的脑海里就已经出现了加班画面，还有无休止的沟通调解，那种感觉就跟阴影一样挥之不去。以前我自认为是个还算乐观的人，也曾想好好奋斗好好努力好好工作，但现在，我真的极度悲观+自卑+无趣。现在的我，不知道自己能做什么，本想来看看大家有什么好的建议，发现都是同样的悲伤。对我而言，可能这就是守恒定律吧，该吃的苦偷了懒，早晚还是躲不过。可能会回家考公或者考教师、事业单位吧，私企真的太难了，随着年龄增长目测会更难。对了，还有另一件让人崩溃的事是，新闻专业不属于语文、英语、数学等学科相关专业，很多地方招聘老师有专业限制，有意向考教师的一定要留意。不知道还能做什么工作，继续迷茫……
aD9e51cniLKXotH1AyMZ2,21年毕业的，这几天面临失业危机了，想找几个同学问问他们的现状，了解一下新闻学的就业行情。当时在某河南省一本学校新闻专业学习，班里一共34人，问了20个人，结果什么也没问出来。基本上就没人从事除体制内外其他的任何新闻行业的工作，我真心觉得，这个专业开设真的失败，或者说除了985和某些211外，别的大学都不该开设这专业，本专业就业真的几乎为0，真的是除了考编进体质以外一无是处。9个人考研上岸:1人郑大新传研究生，今年人才引进回家乡了。1人天津师范大学新传研究生，现在和同学合伙开辅导班辅导新传考研。1人东北师范大学新传，人才引进吉林的一个县。1人华东师范汉语言（跨考），在准备教师考试，以后大概率是要当老师了。1人福建师大的教育学（跨考），二战，明年毕业。1人中央民族大学非法学（跨考），二战，明年毕业。1人宁夏师范汉语言（跨考），选调生上岸。2人河南大学，一个人跨考历史，一人跨考汉语言，俩人年底结婚，工作未知（因为光顾着聊他们生活上的事了）6个人考编上岸:1个人省考公务员上岸，在他们县的编办。1个人参公，在组织部。3个人事业单位上岸，分别在人社局，军退局，文旅局。1个人非现役文职，在他们省的人武部。1个人家里有钱，刚毕业的时候在他们当地的日报社工作了一段时间，现在在家里啃老，据称在准备考公，但是看她的朋友圈全在玩、旅游。2个人在私立学校当老师。1个人在猿辅导当老师，其实是那种销售的老师。1个人，也是唯一一个体制外和新闻沾边的，在郑州的一家公司做自媒体运营，关于教培的。
3S51njyrremig0DMNLY-S,目前刚被录取，还没入学军训我知道社会对新闻学的评价哈哈哈哈哈被调剂来的，是命运让我来到这里～～有期待但不多，就现在而言，更希望以后干自媒体，自由点OK，接下来几年看我的啦～～
r4ro9pzQ9xvmrlj0wIuMn,啊啊啊啊，我也蹲一个。四年后毕业。
dl_KKtubjEgeLe_mF8Tcy,211新闻专业，当年100号人现在在媒体的剩下3个了。
neJDlfDgDy45Si96SGeQf,我大学本科读的是新闻学，研究生专业则是Media & Communications，毕业后在报社当过记者和编辑，也在公司和NGO做过公益项目，如今则是一个自由撰稿人，其中供稿时间最长的甲方是Lonely Planet——从2013年加入LP，至今我已经做过20多本书的内容策划和作者了。大学选新闻专业的原因特别简单，因为我小时候很想当个战地记者，这个愿望我在知乎好几个回答里都提到过。我写过自己在浙大学新闻的经历：在浙江大学竺可桢学院就读是怎样一种体验？145 赞同 · 7 评论回答也写过在LSE就读的体验：在伦敦政治经济学院 (LSE) 就读是怎样的一番体验？600 赞同 · 54 评论回答就像我在之前的回答里提到的一样，当我开始在媒体实习的时候，我才真的意识到，想要成为一个记者，新闻系并不是唯一的路径，甚至可能不是最好的路径。一般的新闻报道需要更广博的知识背景，而专业类报道则需要记者具备更对口的专业知识。同事里法律专业、政治专业、国际关系专业的都有，根据专业大家各有跑的口子。新闻专业主义是理想化的目标和手段，新闻系的学生不少都抱有理想主义。但理想之所以是理想，很多时候就是因为它无法实现。我上大学的时候，新闻系的毕业生绝大多数都会去参加新华社的考试，但被招进去的寥寥可数。报名资格大家都符合，但学历、所在地、乃至性别，都是隐性条件。我本科毕业的时候报过一次名，连笔试机会都没有；研究生毕业又报了一次名，笔试刚结束还没走出那个大院，便被叫去面试了，隔几天收到了录取通知。搜了一下，居然还能找到我大三暑假实习时写的稿但我放弃了。就像我放弃转正、从实习的报社离职一样，那会我已经放弃在国内从事新闻这个想法了。研究生阶段的学习，让我对公益行业产生了很大兴趣，所以之后两年我做的是CSR和NGO。这两年高强度的工作让我的身体状况出了点问题。后来我想要换个自由度更高的工作，来继续实现年少时想满世界旅行、收集故事的愿望。正巧当时LP在招内容策划，这个岗位和LP作者一样都不是正式员工，而是以项目制与LP合作。2013年纸媒虽已逐渐式微，但媒体人的专业素养依然被LP看重，新闻所强调的客观、公正、真实、全面也是LP旅行指南的要求，外加我在报社跑过旅行、饮食、酒店业新闻，所以我很顺利地加入了LP。尽管在这之前我没有参与过图书出版行业，但多年来的编辑、写作和旅行经验，让我很快便能上手这个工作，而且做得不错。我参与的部分LP图书内容策划的工作类似于图书编辑，策划大纲、统筹作者、审阅稿件、计算稿酬……工作最难的部分要算是催稿，有些作者写着写着就失联了，这时候就会想TA到底是调研途中出问题了呢，还是在逃避交稿。我用过各种催稿手段，所以后来我自己也开始当LP作者和为其他媒体撰稿的时候，根本不会拖稿，甚至还会提前交，因为我实在太了解编辑的烦恼了。 LP问过我要不要当正式员工，但还是不坐班更适合我吧。后来LP也衰微了，图书更新缓慢，比不上网络平台的分享速度，确实是无解的问题。不过在信息芜杂的新媒体平台上，LP的编辑和作者也是很受欢迎的约稿对象，不仅因为我们丰富的经验和技能，资深旅行者和写作者的品味、视角和视野，也是更值得信任的。现在我为多家媒体撰稿，包括杂志和新媒体，稿件的主题也不局限于旅行，还有地理、民族、文化、人物专访等各种类型。传统媒体的衰落无需我来赘述，但受众对内容、尤其是深度内容的需求并未减少。最近半年发表的部分稿件其实感觉如今新闻专业毕业生的择业范围比我们当时宽广。当初我们的去路通常是纸媒，或者进入公司的市场部门，再或者考体制内的宣发岗位；如今还有大量的新媒体可选。我研究生阶段在北欧旅行时，遇到一个澳洲来的大学教授（非新闻传播专业），我跟这个大爷聊天说到在中国考进报社挺难的，大爷建议说：你自己搞个媒体自己做嘛。当时我还觉得这不太可能吧，现在满地都是自媒体。听说现在大学的新闻系课程也大量讲授新媒体了。在信息海量、质量参差不齐的网络上，掌握扎实的基础理论知识和新闻采写的专业技能，始终是有用的。我不敢说自己对新闻专业的同学有什么特别有用的就业建议，因为我在新闻行业的从业时间很短暂，自由撰稿人也算不上特别正经的媒体工作。我想说的只是，世界上有无数条路径，选择新闻系无论是主动还是被动，都不意味着这就是未来人生唯一的道路了；新闻学提供的是一个行业的思考方式和专业技能，而人多掌握一些技能、多一种看世界的方式总是没错的。四年大学无论学了什么，只要确实在学习，就不算是浪费。人生宽广，走出校园还有无数的可能性。
NjJAyqNk9K2MhSkTyQrXg,13年毕业，进入央企二级单位总部，经历过业务、战略等部门，目前行政。
jiUW8msAB-d-KLdTP0GQY,我是蓝芽，今年30岁，湖南某二本院校新闻学毕业8年。8年前，我怀着憧憬走入大学校园，大学4年，我对自己的学校和专业都感到十分失望，一度觉得自己上了个假大学，不想跟任何人提起我的学校和专业。去年6月的时候，张雪峰老师在直播间的言论让新闻学上了热搜，张雪峰老师说“孩子非要报新闻，我一定会把ta打晕”，唤起了我尘封的记忆，我为此还写了一篇文章讲述我对这个专业的看法。感兴趣可点击回顾 如今的我，已经坦然接受了我的学历，我的专业和背景，我甚至觉得自己这样普通的人，如果能借助我的经历和优势，发出一点光热照亮别人，也许就是我的人生价值所在。所以我特别邀请了我的几位同学，8年后的一次长谈，聊聊在普通二本学校学习新闻学，我们的感受是什么？我们毕业后，去了哪里？在做什么？如果你是同专业毕业的朋友，也许能在这里面找到一些共鸣；如果你是想报考这个专业的学弟学妹们，也许可以给你提供一些信息源。我的访谈问题如下：1、当初为什么要选这个专业？ 2、大学四年里学习这个专业，你最大的感受是什么？ 3、毕业之后，你一共经历了几份工作？可以大概介绍下这些工作吗？ 4、你现在在做什么？你对现在的生活满意吗？ 5、你对未来有哪些期待？你觉得实现这些期待会有哪些阻碍？ 6、如果现在有一个即将面临专业选择的高考生来问你新闻学怎么样，要不要选新闻学？你会如何回答ta？为了方便讲述，以下4位同学都以第一人称视角分享。 G同学，女生，湖南常德人，毕业后回了老家，目前已经结婚生娃，孩子两岁了。我是随便选的这个专业，因为是文科生，可选的专业也不多。学新闻专业的感受，就是很一般，学习的内容比较空，找不到什么感觉。大学四年里没怎么想事，毕业后考了一个驾照，去一家报社实习了，后面就回到了老家上班。我目前为止就经历了一份工作，就是在县城的电视台当记者，我在里面干了有6年的时间，主要的工作内容是拍摄，写稿，剪辑，都我一个人干，但是我现在已经离职了。其实这份工作，内容倒是能做，就是工作环境不是很好，人际关系是一方面，另一方面职业发展挺不确定的，待遇也低，因为我是那个编外人员，各方面比较苛刻，在综合考虑之下我就离职了。离职后我现在自己搞了一个工作室，主要接一些宣传片的制作，这个也比较依赖关系资源，目前的业务情况不是很稳定，但我自己觉得对个人的能力提升还是有比较大的帮助。我觉得选这个专业吧，没什么实质性的意义，就是你没有学你也可以做，因为你做的东西就是照本宣科嘛。再加上我们这种二本学校，学历也低，考公务员也没有什么竞争力，我就觉得就业环境很严峻。我对未来的期待，一边过一边想，没有一个具体的设想，我就是不知道自己要做什么，很无聊，比较焦虑。 Y同学，男生，湖南湘潭人，目前在长沙发展。 我选择新闻学也是比较理想主义，我小时候喜欢看一些电视节目，什么《新闻大求真》《锵锵三人行》，我很关注国家大事，也爱看杂书，涉猎比较广泛，新闻专业是我的第一志愿。我学这个专业的最大感受，其实我真正学习的时间只有大一和大二的时候，我大一参与了很多的社团，我还是一名学生干部，大二的时候在学校的报社，还去了咱们市的报社和网站实习，我觉得那两年的感觉就是很新鲜，接触了很多新东西，感觉自己就想海绵一样不断的在吸水，吸收知识。我大一下学期买了单反，我学习新闻摄影，不管去哪里玩，我都会带上单反拍一拍。我觉得学习的课程，我最感兴趣的就是新闻摄影，其它的课程就比较理论派，说得不好听就是照本宣科，实际用处不大。我大三结束后，被我爸急急忙忙喊去当兵了，延期了一年毕业，返校的时候也没怎么继续呆在学校，因为要去实习了。我毕业后投简历被一家媒体拒绝后，经历的工作就跟新闻媒体没什么关系了。我一共经历了两份工作，一份是房地产行业的策划，一份是体育行业的宣传推广。我现在就很期待一份稳定的工作，想往体制内去走，但每天下了班之后又不想动，考公也就想想，没有实际行动。如果让我来给犹豫报新闻专业的高考生提建议，我想说这个要看你的家庭，如果你的家庭不是很殷实，家里需要你工作来赚钱，那就不太建议学新闻；如果真的对这个专业有兴趣，想要学的话，不能是二本，至少得985，211这样的学校。如果家境殷实的话，父母不靠你赚钱养家，你学任何一个专业都ok. W同学，男生，湖南娄底人，毕业后打过工，创过业，现在在广州发展。我当初选新闻学，说得虚一点是因为梦想和热爱，因为我是一个对文学类的东西比较感兴趣的人，我在大学之前是一个很热爱阅读的人，其实我当时的高考分数选医学也没问题，但我是义无反顾选了新闻学。我觉得我选新闻学，可能还会有更多的外出机会，拎着设备出去采访，可以跟不同的人打交道，去不同的地方，我觉得这是一件挺开心的事。我学这个专业的感受，说实话，没什么感受，因为我从大二开始几乎就不上课了，学校课程里教的东西很虚，非专业课像什么现代文学，古代文学很多，真正的专业课没几节，反正我上了一年后就觉得这大学念得没什么意思，但家里面不让我辍学。我当时的心态出了很大的问题，对一切都失去了兴趣，生活非常空虚，每天没什么事做，我们男寝就跟病毒感染了似的，大家都觉得没什么意思。这种情况到了大学毕业后才有所改变，因为这个时候才是真正跟社会接触了。我毕业后的第一份工作，是在长沙做电话销售，当时很迷茫，不知道找什么工作，但是不得不找一份工作，我记得薪水特别低，应该是3500一个月，每天不断地给别人打骚扰电话推销，我们公司是做月嫂服务的，我业绩还可以，但是也没拿到什么钱。我干了3个月就离职了，我一个20多岁的大男人每天给孕妇打电话，每天要打200个电话，我每天回到家一句话也不想说，这很可怕，我差点就抑郁了，还瘦了十几斤，我想着年纪轻轻的还是不要干这种，我就听家里安排回老家上班了。回老家是去了民政局做普查类的工作，就是每天去乡镇开会，普及一些东西，这个班上得挺舒服的，吃好喝好，人家也挺尊重你，半年内我又胖了20斤。半年后我又没干了，薪水太低，一个月就只有3000多，稳定的穷，我这个人是不肯委屈自己的，我一双鞋就要1000块，我接受不了这种经济状况，我觉得我要改变，就想出来创业。然后我就来了广州，开了烧烤店，资金当然是父母支持，因为他们相信我能成。烧烤店开了两年，运营得挺好的，一直开分店，规模最大的时候是开了5家店，2020年疫情来了，一切归零，我还倒欠银行几十万。然后我就去打工还债了，中间做了保险业务员，还了点债，债差不多了我想着要不就认了，考公务员吧，就去参加了广东的省考。我就备考了两个月吧，考了一个很高的分数，吓了大家一跳，但是我体能测试没过，我报的公检法的职位，因为几年餐饮干下来我的体态略有点肥胖了，身体不是很好，又折戟沉沙了。烧烤店关门没把我打倒，考公失败就真的打击有点大了，真的就抑郁了，去看了心理医生，医生给我开了药我没吃，我就纯玩了3个多月，放松心情才走了出来，后面做保险的同事给我介绍了现在的工作，就是做葡萄酒销售。我就一直在干这个，我觉得还挺适合我的，它可以让我每天走出去跟人打交道，比较开放自由，只要把业绩干好就ok了。我现在对未来没有太多的期待，我今年会准备要个小孩，但是职业上不太好说，看大环境吧，行情好还是会想自己开店，行情不好就混吃等死了。最后，我对报考新闻学的建议，我的建议是选自己喜欢的吧，如果你真的热爱文学，热爱新闻工作，就是学一下了解一下也可以啊，以后不一定要成为一个新闻工作者，但如果你热爱的东西你都不去了解一下，我觉得人生也挺遗憾的。Z同学，女生，山东人，毕业后就回了老家发展，目前已经结婚生娃，孩子3岁了。我是自己选的新闻学，因为当时我们家有一个亲戚在报社做编辑，我觉得挺好的，没有想那么多就报了。我对这个专业的感受，很难说，我选的时候很高兴，很喜欢，但是去接触了那些老师上的课程后，大部分老师要么在念PPT，要么在念课本，学校也没有给我们提供一些实习实践的机会，就挺表里不一的。我毕业之前还想着好好学习在外边打拼两年再回家，经历了之后我很想快点毕业，我只想快点回家。毕业之后我就去了我老家这边的一家报社实习，实习了一年之后，我发现转编制无望，我就辞职了。辞职之后我又做了新媒体，运营策划，这两份工作后就结婚了，结婚后觉得公司的运营策划工作不是很稳定，就去了一家国企下的子公司做党建工作。这份工作的要求是要求新闻学+党员，我刚好都符合，所以还挺幸运自己选了这个专业。结婚两年后有孩子了，老公的工作比较忙，婆婆不太想参与我们的生活，我就全职在家照顾孩子了，现在就是一直在想去上班，但又没有很大的动力去找工作。其实我对当下的生活状态挺满意的，家里有人帮衬，偶尔会比较累，我觉得全职妈妈是很幸福的，因为孩子的每一个瞬间你都可以陪在身边。我对未来的期待就是希望可以长久的稳定下去，等孩子幼儿园适应了之后，去找一份离家近的工作，能稍微兼顾下家庭，有自己的事做，我就觉得很好了。如果让我来给犹豫报考新闻学的高考生提建议的话，我觉得如果你想好一定要从事对口的工作，比如进权威的媒体机构，需要考虑一下家里的经济条件，人脉资源，学校的层次，如果你只是单纯的喜欢，但是可以接受不从事相关工作，我觉得也可以。总之是你想从事行业内的工作，想进一个更好的单位，还是要考虑一下自己的综合实力。采访完的碎碎念：这次采访我的大学同学，过程非常的开心，借着采访的机会，既完成了我的选题内容，还联络了一下8年未见的老同学。采访完会发现，这些同学在年少时都凭借着自己的喜爱，自主选的新闻学专业，但是接触了之后，大家的感受比较一致，会对学校课程的评价偏负面。毕业后大家现在在做的事情也很不一样，据我所知班上有一些同学仍然在家乡从事新闻媒体方面的工作，有的在当老师，在其它行业做着一些事情。我自己目前的主业是在教育行业从事运营相关工作，副业正在做生涯咨询师，盖洛普优势教练。如果你有选择专业和职业方面的困惑，我可以提供相关咨询服务。
sAmmYCwKW4wlsuSd4JvQi,新闻学专业的就业方向：新闻学专业毕业后从事从事采编工作和大众传播媒介的经营管理工作，也可以从事公关策划工作，还可以从事较高层次的新闻业务、教学、科研和管理工作。从事岗位：报社记者、电视台后期编辑、出镜记者、公司企业的宣传策划岗位、新媒体运营岗位、公务员、高校教师等。新闻学专业找工作的网站有哪些？1、高校人才网（高校人才网集合了全国各地 新闻学相关专业招聘信息）2、官网渠道（选择自己心仪的学校/企事业，通过查找对方官方网站所发布的招聘信息，找到自己想要的职位）3、地方招聘平台（各个省份都有专门的地方人才网）4、传统的招聘网站（如去一些靠谱且知名的传统招聘网站搜寻工作信息）
